분류,사업장명,전체주소,좌표
골프장,(재)한국군사문제연구원남성대쌍둥이골프연습장,경기도 성남시 수정구 창곡동 92-1번지,"[37.471411, 127.1393589]"
골프장,(주) 파주컨트리클럽,경기도 파주시 법원읍 갈곡리 360,"[37.8479135, 126.9004115]"
골프장,(주)경주신라C.C(회원제),경상북도 경주시 신평동 산 5번지,"[35.8508403, 129.2850201]"
골프장,(주)관악 리베라컨트리클럽,경기도 화성시 청계동 510-385 리베라CC클럽하우스,"[37.190065, 127.112785]"
골프장,(주)라비돌 라비돌컨트리클럽,경기도 화성시 정남면 보통리 141-39,"[37.1904686, 126.9833919]"
골프장,(주)베스트밸리골프클럽,경기도 파주시 광탄면 분수리 1-1번지,"[37.7567091, 126.8836134]"
골프장,(주)블랙스톤에듀팜리조트 골프장,충청북도 증평군 도안면 연촌리 산 58번지 클럽하우스,"[36.8449639, 127.5825434]"
골프장,(주)송산골프랜드,전라북도 익산시 석암동 54-3번지,"[35.9406974, 127.012727]"
골프장,(주)시그너스컨트리클럽,충청북도 충주시 앙성면 중전리 산 11-1번지,"[37.1740054, 127.7399576]"
골프장,(주)여수관광레저,전라남도 여수시 둔덕동 286-8번지 (주)여수관광레저,"[34.7811953, 127.6956435]"
골프장,(주)캐슬렉스서울 캐슬렉스골프클럽,경기도 하남시 감이동 260-1,"[37.4980845, 127.1680975]"
골프장,(주)티에스개발 송추컨트리클럽,경기도 양주시 광적면 비암리 산 23-1번지,"[37.7949486, 126.9119494]"
골프장,(주)한길 파미힐스 컨트리클럽,경상북도 칠곡군 왜관읍 매원리 295-1번지,"[36.0007068, 128.4440138]"
골프장,1.2.3 골프클럽,경기도 고양시 덕양구 동산동 53-124번지,"[37.6409179, 126.9060441]"
골프장,360도 컨트리클럽,경기도 여주시 강천면 부평리 산 59-3,"[37.2982081, 127.7347808]"
골프장,sbs 스크린 골프클럽,서울특별시 관악구 봉천동 1723번지 반석 푸른숲 101동 1203호,"[37.4685466, 126.9658624]"
골프장,가평리조트 골프장,경기도 가평군 조종면 운악리 산 90 리앤리컨트리클럽,"[37.87242579999999, 127.3619733]"
골프장,가평베네스트G.C,경기도 가평군 상면 상동리 산 52번지,"[37.8007922, 127.3125998]"
골프장,강남300 컨트리클럽,경기도 광주시 목동 497-6번지,"[37.3851756, 127.1803859]"
골프장,강원랜드골프클럽,강원도 정선군 고한읍 고한리 산 1-166번지,"[37.168825, 128.840722]"
골프장,건설공제조합 세종필드골프클럽,세종특별자치시 연기면 산울리 644번지 건설공제조합 세종필드골프클럽,"[36.53596058892234, 127.25411623987735]"
골프장,경원건설(주),경기도 성남시 분당구 백현동 511-25번지,"[37.3802429, 127.0823305]"
골프장,경주 보문컨트리(대중제),경상북도 경주시 신평동 375번지,"[35.8427957, 129.285767]"
골프장,경주컨트리클럽,경상북도 경주시 북군동 375-1번지,"[35.8644995, 129.2628671]"
골프장,고양컨트리클럽,경기도 고양시 덕양구 도내동 457-1번지,"[37.6344167, 126.8576199]"
골프장,고흥골프장,전라남도 고흥군 두원면 신송리 15-2번지 골프연습장,"[34.6327517, 127.2903828]"
골프장,곤지암GC,경기도 광주시 도척면 도웅리 210-2번지,"[37.3336485, 127.2939102]"
골프장,골드컨트리클럽,경기도 용인시 기흥구 고매동 5-73번지 골드훼미리콘도,"[37.219755, 127.1378876]"
골프장,골프존카운티 안성H,경기도 안성시 보개면 북가현리 산 65-1번지,"[37.0946511, 127.3361912]"
골프장,골프존카운티 안성W,경기도 안성시 양성면 동항리 25-1,"[37.0750334, 127.1946144]"
골프장,골프클럽 안성Q,경기도 안성시 죽산면 장계리 711번지,"[37.0486238, 127.3958758]"
골프장,광릉레져개발(주) 광릉CC,경기도 남양주시 진접읍 팔야리 산 1번지,"[37.7627028, 127.2441093]"
골프장,그린힐 컨트리클럽,경기도 광주시 곤지암읍 이선리 5-27번지,"[37.3592185, 127.4277814]"
골프장,근영농산(주)양주컨트리클럽,경기도 남양주시 화도읍 금남리 300번지,"[37.6446195, 127.3561408]"
골프장,글렌로스골프클럽,서울특별시 강동구 상일동 500번지 글로벌엔지니어링센터,"[37.5488618, 127.1753808]"
골프장,금강컨트리클럽,경기도 여주시 가남읍 본두리 1-2번지,"[37.2438136, 127.5932934]"
골프장,금호리조트(주),경기도 용인시 처인구 양지면 대대리 854-34번지,"[37.25528449999999, 127.280117]"
골프장,김포 SEASIDE 컨트리클럽,경기도 김포시 월곶면 포내리 220-6,"[37.7102679, 126.5337738]"
골프장,남부,경기도 용인시 기흥구 보라동 1-35번지,"[37.2641626, 127.1257328]"
골프장,남여주대중골프장,경기도 여주시 하거동 산 49번지,"[37.2980237, 127.6371628]"
골프장,남원상록골프장,전라북도 남원시 대산면 대곡리 산 106번지,"[35.418246, 127.2967045]"
골프장,남촌컨트리클럽,경기도 광주시 곤지암읍 이선리 510번지,"[37.3510623, 127.4144475]"
골프장,노스팜 컨트리클럽,경기도 파주시 광탄면 기산리 664-6번지 노스팜 컨트리클럽,"[37.7771873, 126.9076749]"
골프장,노스폴 컨트리클럽,경기도 연천군 전곡읍 고능리 101번지,"[38.0018111, 127.0471102]"
골프장,뉴금천휘트니스 3,서울특별시 금천구 시흥동 5-13,"[37.4632563, 126.909601]"
골프장,뉴서울컨트리클럽,경기도 광주시 삼동 1,"[37.4204132, 127.215209]"
골프장,뉴스프링빌골프장,경기도 이천시 모가면 두미리 419번지 뉴스프링C.C,"[37.1540965, 127.4198347]"
골프장,뉴코리아 컨트리클럽,경기도 고양시 덕양구 신원동 227-12,"[37.6649348, 126.8775893]"
골프장,대영베이스컨트리클럽,충청북도 충주시 대소원면 장성리 산 7번지,"[36.9458925, 127.8379368]"
골프장,대중제 골프장(9홀),경기도 이천시 장호원읍 풍계리 산 52번지,"[37.1619475, 127.6176674]"
골프장,더 스타 휴 컨트리클럽,경기도 양평군 양동면 고송리 산 143번지,"[37.4766287, 127.7003048]"
골프장,더반 골프클럽,경기도 이천시 대월면 도리리 66번지,"[37.2071651, 127.4899073]"
골프장,더반골프클럽,경기도 이천시 대월면 도리리 277번지,"[37.2007364, 127.4849104]"
골프장,더크로스비골프클럽,경기도 이천시 호법면 단천리 63-1 클럽하우스,"[37.2325578, 127.4117971]"
골프장,도고컨트리구락부,충청남도 아산시 선장면 신성리 113-8번지,"[36.7779713, 126.890297]"
골프장,동서울레스피아대중골프장,강원도 원주시 지정면 월송리 산 2-2번지,"[37.40276900000001, 127.8799841]"
골프장,라미드관광주식회사,경기도 남양주시 오남읍 오남리 산 171-3번지,"[37.678867, 127.2162979]"
골프장,라싸골프클럽,경기도 포천시 이동면 연곡리 산 142-1,"[38.0013938, 127.3786554]"
골프장,레이크사이드,경기도 용인시 처인구 모현읍 능원리 산 5-12번지,"[37.3271995, 127.1758967]"
골프장,레이크힐스용인컨트리클럽,경기도 용인시 처인구 남사면 창리 454-3번지,"[37.1297398, 127.1893645]"
골프장,레익스빌골프장,강원도 속초시 금호동 600-7번지,"[38.2142144, 128.5807107]"
골프장,렉스필드 컨트리클럽,경기도 여주시 산북면 상품리 산 108번지,"[37.3988303, 127.4214717]"
골프장,로얄개발(주) 레이크우드 골프장,경기도 양주시 만송동 514-1번지,"[37.7847208, 127.0881089]"
골프장,로얄개발(주) 레이크우드 골프장,경기도 양주시 만송로 243 (만송동),"[37.7854434, 127.0858646]"
골프장,록인 컨트리클럽,경기도 남양주시 화도읍 차산리 산 111-1번지,"[37.6134382, 127.2896218]"
골프장,링크나인골프클럽,경기도 화성시 마도면 고모리 625-2 LINK LINE G.C 클럽하우스,"[37.1715459, 126.7532957]"
골프장,마에스트로 CC,경기도 안성시 양성면 노곡리 123번지,"[37.1064061, 127.2639556]"
골프장,마우나오션 C.C(회원제),경상북도 경주시 양남면 신대리 산 140-1번지,"[35.69020460000001, 129.3740995]"
골프장,몽베르컨트리클럽,경기도 포천시 영북면 산정리 558-1,"[38.0743718, 127.3087501]"
골프장,백암비스타골프장,경기도 이천시 모가면 어농리 산 86번지,"[37.1874113, 127.4204483]"
골프장,버드우드골프클럽,충청남도 천안시 동남구 병천면 매성리 335-1번지 버드우드골프클럽,"[36.8035181, 127.3071301]"
골프장,베뉴지CC,경기도 가평군 가평읍 승안리 산 176 가평베뉴지골프장,"[37.8448278, 127.4804533]"
골프장,부산칸트리클럽,부산광역시 금정구 노포동 368번지,"[35.2968959, 129.0945543]"
골프장,블랙스톤골프장,경기도 이천시 장호원읍 풍계리 41-41번지,"[37.1621105, 127.6223955]"
골프장,블루원용인CC,경기도 용인시 처인구 원삼면 목신리 356-10번지,"[37.1297003, 127.3147956]"
골프장,블루헤런G.C,경기도 여주시 대신면 상구리 산 11-1번지,"[37.3872408, 127.6496]"
골프장,비에이비스타 골프장,경기도 이천시 모가면 어농리 386-1번지,"[37.1819433, 127.417884]"
골프장,비전골프,서울특별시 중랑구 묵동 20번지 대림두산아파트 상가동 지하호,"[37.6167806, 127.088124]"
골프장,비전힐스CC,경기도 남양주시 화도읍 녹촌리 산 52-1번지,"[37.6459867, 127.2660841]"
골프장,빅토리아일반대중골프장,경기도 여주시 가남읍 송림리 214번지,"[37.17946329999999, 127.6312061]"
골프장,사우스링스영암 CC,전라남도 영암군 삼호읍 난전리 2156,"[34.7391786, 126.4248947]"
골프장,사우스스프링스C.C,경기도 이천시 모가면 소고리 640-6번지,"[37.1753585, 127.4529952]"
골프장,삼남개발(주) 기흥컨트리클럽,경기도 화성시 신동 50-1,"[37.1994932, 126.8311887]"
골프장,삼성물산(주)안양컨트리클럽,경기도 군포시 부곡동 1번지,"[37.3393721, 126.9420511]"
골프장,샴발라 컨트리클럽,경기도 포천시 군내면 직두리 산 1-1번지,"[37.8714708, 127.2601704]"
골프장,"서라벌골프클럽(정규, 일반)",경상북도 경주시 외동읍 석계리 산 1번지,"[35.6929816, 129.2743833]"
골프장,서원밸리 대중골프장,경기도 파주시 광탄면 발랑리 123-1번지,"[37.8218058, 126.8977424]"
골프장,서원밸리골프클럽,경기도 파주시 광탄면 발랑리 123-1번지 서원밸리G.C클럽,"[37.82103, 126.888999]"
골프장,세종레이캐슬 골프&리조트,세종특별자치시 전의면 달전리 산 72,"[36.6167846, 127.1897127]"
골프장,세종에머슨 컨트리클럽,세종특별자치시 전의면 유천리 216-1번지,"[36.69842610000001, 127.1819843]"
골프장,소피아그린,경기도 여주시 점동면 현수리 산 13번지,"[37.178842, 127.7043141]"
골프장,솔모로골프장,경기도 여주시 가남읍 양귀리 산 69번지,"[37.1924651, 127.5811517]"
골프장,솔트베이(Salt Bay) 골프클럽,경기도 시흥시 장곡동 724-2,"[37.3909758, 126.7790592]"
골프장,수원컨트리클럽,경기도 용인시 기흥구 구갈동 258-1 수원컨트리클럽,"[37.2783601, 127.1219444]"
골프장,스마트KU 골프 파빌리온,경기도 파주시 법원읍 삼방리 521번지,"[37.8280086, 126.8524074]"
골프장,스카이밸리골프장,경기도 여주시 북내면 운촌리 산 40,"[37.3431718, 127.7344692]"
골프장,신라컨트리클럽,경기도 여주시 북내면 덕산리 산 3-1번지,"[37.364478, 127.7043245]"
골프장,신안 퍼블릭 CC,경기도 안성시 고삼면 가유리 787-15번지,"[37.0985001, 127.2492162]"
골프장,신원,경기도 용인시 처인구 이동읍 묵리 산 49-1번지,"[37.1822463, 127.2510618]"
골프장,신창기업(주)발리오스컨트리클럽(대중제),경기도 화성시 팔탄면 해창리 256-5,"[37.1139229, 126.8622777]"
골프장,써닝포인트 컨트리클럽,경기도 용인시 처인구 백암면 고안리 산 21-1번지,"[37.1464957, 127.4254176]"
골프장,썬밸리 컨트리클럽,경기도 여주시 강천면 부평리 418-1,"[37.2695265, 127.7392371]"
골프장,썬힐G.C,경기도 가평군 조종면 운악리 산 144-1번지,"[37.8178242, 127.3532361]"
골프장,아난티클럽서울(주),경기도 가평군 설악면 방일리 산 90-2번지,"[37.6228466, 127.4858005]"
골프장,아덴힐 컨트리클럽,경기도 안성시 양성면 미산리 592 아덴힐 컨트리클럽,"[37.122222, 127.270278]"
골프장,아리지 골프장,경기도 여주시 가남읍 안금리 산 103번지,"[37.21399359999999, 127.5953441]"
골프장,아세코밸리 골프클럽,경기도 시흥시 거모동 121-1번지,"[37.3682355, 126.7695247]"
골프장,아일랜드(주),경기도 안산시 단원구 대부남동 1369번지 아일랜드CC,"[37.2300964, 126.5638526]"
골프장,아일랜드컨트리클럽,경기도 안산시 단원구 대부남동 1111번지,"[37.2332059, 126.5645532]"
골프장,안성베네스트G.C,경기도 안성시 금광면 삼흥리 산 1번지,"[37.0277698, 127.3782749]"
골프장,안성컨트리클럽,경기도 안성시 죽산면 장계리 736번지,"[37.0447203, 127.4057343]"
골프장,양평TPC골프장,경기도 양평군 지평면 대평리 산 112,"[37.4141243, 127.6530695]"
